"lang"
{
	"Language"		"English"

	"Tokens"
	{
		"addon_game_name"														"Ancient Battle"
		"DOTA_GameMode_15"														"Ancient Battle"
		"game_mode_15_desc"														"And now something different!"
		
		// ******************** HEROES ********************
		"npc_dota_hero_axe"                                                     "Axe"
		"npc_dota_hero_alchemist"                                               "Alchemist"
		"npc_dota_hero_bane"                                                    "Bane"
		"npc_dota_hero_bloodseeker"                                             "Lightning Shaman"
		"npc_dota_hero_brewmaster"                                              "Brewmaster"
		"npc_dota_hero_abaddon"                                                 "Death Knight"
		"npc_dota_hero_drow_ranger"                                             "Dark Ranger"
		"npc_dota_hero_invoker"													"Blood Mage"
		"npc_dota_hero_juggernaut"                                              "Blademaster"
		"npc_dota_hero_keeper_of_the_light"                                     "Archmage"
		"npc_dota_hero_lich"                                                    "Lich"
		"npc_dota_hero_life_stealer"                                            "Lifestealer"
		"npc_dota_hero_night_stalker"                                           "Void Demon"
		"npc_dota_hero_omniknight"                                              "Paladin"
		"npc_dota_hero_puck"                                                    "Mana Eater"
		"npc_dota_hero_queenofpain"                                             "Queen of Pain"
		"npc_dota_hero_riki"                                                    "Stealth Assassin"
		"npc_dota_hero_rubick"                                                  "Gambler"
		"npc_dota_hero_nevermore"                                               "Fire Lord"
		"npc_dota_hero_silencer"                                                "Silencer"
		"npc_dota_hero_spirit_breaker"                                          "Astral Trekker"
		
		"npc_dota_hero_custom_axe"                                              "Axe"
		"npc_dota_hero_custom_alchemist"                                        "Alchemist"
		"npc_dota_hero_custom_bane"                                             "Bane"
		"npc_dota_hero_perun"                                                   "Lightning Shaman"
		"npc_dota_hero_custom_brewmaster"                                       "Brewmaster"
		"npc_dota_hero_death_knight"                                            "Death Knight"
		"npc_dota_hero_dark_ranger"                                             "Dark Ranger"
		"npc_dota_hero_blood_mage"												"Blood Mage"
		"npc_dota_hero_blademaster"                                             "Blademaster"
		"npc_dota_hero_archmage"                                                "Archmage"
		"npc_dota_hero_custom_lich"                                             "Lich"
		"npc_dota_hero_custom_life_stealer"                                     "Lifestealer"
		"npc_dota_hero_void_demon"                                              "Void Demon"
		"npc_dota_hero_paladin"                                                 "Paladin"
		"npc_dota_hero_mana_eater"                                              "Mana Eater"
		"npc_dota_hero_custom_queenofpain"                                      "Queen of Pain"
		"npc_dota_hero_stealth_assassin"                                        "Stealth Assassin"
		"npc_dota_hero_custom_gambler"                                          "Gambler"
		"npc_dota_hero_fire_lord"                                               "Fire Lord"
		"npc_dota_hero_custom_silencer"                                         "Silencer"
		"npc_dota_hero_astral_trekker"                                          "Astral Trekker"
		
		"npc_dota_hero_warp_beast"                                              "Warp Beast"
		"npc_dota_hero_sohei"                                                   "Sohei"
		"npc_dota_hero_electrician"                                             "Electrician"

		// ******************** UNITS ********************
		"npc_dota_custom_dummy_unit"                                           	"Dummy Unit"
		"npc_dota_firelord_lava_spawn_1"                                        "Lava Spawn"
		"npc_dota_firelord_lava_spawn_2"                                        "Lava Spawn"
		"npc_dota_firelord_lava_spawn_3"                                        "Lava Spawn"
		"npc_dota_firelord_lava_spawn_4"                                        "Lava Spawn"
		"npc_dota_firelord_volcano"                                             "Volcano"
		"npc_dota_dark_arrow_minion_1"                                          "Dark Minion"
		"npc_dota_dark_arrow_minion_2"                                          "Dark Minion"
		"npc_dota_dark_arrow_minion_3"                                          "Dark Minion"
		"npc_dota_dark_arrow_minion_4"                                          "Dark Minion"
		"npc_dota_summoned_guardian_angel"                                      "Guardian Angel"
		"npc_dota_infernal_golem"                                               "Infernal Golem"
		"npc_dota_water_elemental_1"                                            "Water Elemental"
		"npc_dota_water_elemental_2"                                            "Water Elemental"
		"npc_dota_water_elemental_3"                                            "Water Elemental"
		"npc_dota_water_elemental_4"                                            "Water Elemental"
		"npc_dota_earth_golem_1"                                                "Earth Golem"
		"npc_dota_earth_golem_2"                                                "Earth Golem"
		"npc_dota_earth_golem_3"                                                "Earth Golem"
		"npc_dota_earth_golem_4"                                                "Earth Golem"
		"npc_dota_custom_primal_split_earth_spirit"                             "Earth Spirit"
		"npc_dota_custom_primal_split_storm_spirit"                             "Storm Spirit"
		"npc_dota_custom_primal_split_fire_spirit"                              "Fire Spirit"
		"npc_dota_spooky_scary_skeleton"                                        "Spooky Scary Skeleton"
		"npc_dota_custom_basic_zombie"                                          "Zombie"
		"npc_dota_combie"                                                       "Combie"
		"npc_dota_custom_exploding_zombie"                                      "Exploding Zombie"
		"npc_dota_custom_corpse_lord"                                           "Corpse Lord"
		"npc_dota_custom_minor_lich"                                            "Minor Lich"
		"npc_dota_mali_trenja"                                                  "Mali Trenja"
		"npc_dota_custom_roshling"                                              "Roshling"
		"npc_dota_custom_fire_roshling"                                         "Fire Roshling"
		"npc_dota_custom_greater_roshling"										"Greater Roshling"
		"npc_dota_custom_bash_roshling"											"Bash Roshling"
		"npc_dota_kondor"														"Kondor"
		"npc_dota_custom_boss_roshan"											"Roshan"
		"npc_dota_custom_phoenix_egg"											"Phoenix Egg"
		"npc_dota_custom_phoenix_summon"										"Phoenix"
		"npc_dota_custom_death_ward"                                            "Death Ward"
		"npc_dota_techies_stasis_trap"                                          "Electric Trap"
		"npc_dota_custom_electric_trap"                                         "Electric Trap"

		"DOTA_Tooltip_ability_ursa_fury_swipes"									"Fury Swipes"
		"DOTA_Tooltip_ability_ursa_fury_swipes_Lore"							"In nature, the wounded rarely survive the attacks of hungry predators."
		"DOTA_Tooltip_ability_ursa_fury_swipes_Description"						"Tower's attacks make deeper wounds in the enemy, causing consecutive attacks to the same enemy to deal more damage.  If the same target is not attacked after %bonus_reset_time% seconds, the bonus damage is lost."
		"DOTA_Tooltip_ability_ursa_fury_swipes_damage_per_stack"				"DAMAGE PER ATTACK:"
		"DOTA_Tooltip_ability_ursa_fury_swipes_bonus_reset_time"				"RESET TIME:"
		"DOTA_Tooltip_ability_ursa_fury_swipes_bonus_reset_time_roshan"			""
		
		"DOTA_Tooltip_ability_custom_building_true_strike"  					"True Strike"
		"DOTA_Tooltip_ability_custom_building_true_strike_Description"      	"Cannot miss."

		"DOTA_Tooltip_ability_custom_unit_spell_immunity"                   	"Spell Immunity"
		"DOTA_Tooltip_ability_custom_unit_spell_immunity_Description"       	"Immune to magic damage and most spells."
		"DOTA_Tooltip_ability_custom_unit_spell_immunity_Lore"              	"Resistant skin."
		
		"DOTA_Tooltip_ability_custom_unit_splash_attack"						"Splash Attack"
		"DOTA_Tooltip_ability_custom_unit_splash_attack_Description"			"Dealing 100%% attack damage in a radius around the attacked target."

		"DOTA_Tooltip_ability_dummy_unit"                                       "Dummy Unit"
		"DOTA_Tooltip_ability_dummy_unit_Description"                           "You are not supposed to see this ever."

		"DOTA_Tooltip_ability_custom_fountain_regen"                            "Bonus Fountain Regen"
		"DOTA_Tooltip_ability_custom_fountain_regen_Description"                ""
		"DOTA_Tooltip_ability_custom_fountain_regen_regen_radius"               "RADIUS:"
		"DOTA_Tooltip_ability_custom_fountain_regen_hp_regen"                   "%BONUS HP REGEN:"
		"DOTA_Tooltip_ability_custom_fountain_regen_mp_regen"                   "%BONUS MP REGEN:"
		//"DOTA_Tooltip_ability_custom_fountain_regen_regen_stickyness"         "REGEN STICKYNESS:"
		
		"DOTA_Tooltip_modifier_custom_fountain_regen"                           "Bonus Fountain Regen"
		"DOTA_Tooltip_modifier_custom_fountain_regen_Description"               "Heals more and restores more mana if you are closer to the fountain."
		
		"DOTA_Tooltip_ability_custom_fountain_true_sight"                     	"True Sight"
		"DOTA_Tooltip_ability_custom_fountain_true_sight_Description"         	"Reveals enemy invisible units and wards."
		"DOTA_Tooltip_ability_custom_fountain_true_sight_aura_radius"          	"RADIUS:"

		// ******************** ALCHEMIST ********************
		"DOTA_Tooltip_ability_alchemist_custom_healing_spray"                   "Healing Spray"
		"DOTA_Tooltip_ability_alchemist_custom_healing_spray_Description"       "Sprays a healing agent across the target area. Friendly units in the area are healing and taking less damage."
		"DOTA_Tooltip_ability_alchemist_custom_healing_spray_Lore"				"Healing enemies would be funny."
		"DOTA_Tooltip_ability_alchemist_custom_healing_spray_radius"            "RADIUS:"
		"DOTA_Tooltip_ability_alchemist_custom_healing_spray_duration"          "DURATION:"
		"DOTA_Tooltip_ability_alchemist_custom_healing_spray_heal_per_wave"     "HEAL PER SECOND:"
		"DOTA_Tooltip_ability_alchemist_custom_healing_spray_damage_decrease"	"%INCOMING DAMAGE REDUCTION:"
		//"DOTA_Tooltip_ability_alchemist_custom_healing_spray_wave_interval"   "WAVE INTERVAL:"
		
		"DOTA_Tooltip_modifier_healing_spray_buff"                              "Healing Spray"
		"DOTA_Tooltip_modifier_healing_spray_buff_Description"                  "This unit is healing and taking less damage."
		
