//========================================================================================
// Stoneskin Armor
//========================================================================================

"DOTA_Tooltip_Ability_item_stoneskin"                              "Stoneskin Armor"
"DOTA_Tooltip_Ability_item_stoneskin_Description"                  "<h1>Active: Stone Form</h1> Grants %stone_armor% armor, %stone_status_resist%%% status resistance and %stone_deflect_chance%%% chance to deflect ranged attacks to any unit within %stone_deflect_radius% radius. But your movement speed is set to %stone_move_speed%. Lasts %duration% seconds.\n<h1>Passive: Stone Skin Aura</h1> Amplifies healing, regeneration, lifesteal and spell lifesteal of nearby allies by %hp_regen_amp%%%. <br><br>Radius: %aura_radius%"
"DOTA_Tooltip_Ability_item_stoneskin_Lore"                         "Massive and hefty ice armor bestows incredible defense on the user."
"DOTA_Tooltip_Ability_item_stoneskin_Note0"                        "Deflected attacks don't proc attack modifiers and don't pierce spell immunity."
"DOTA_Tooltip_Ability_item_stoneskin_Note1"                        "Stone Skin Aura only amplifies received healing."
"DOTA_Tooltip_Ability_item_stoneskin_bonus_armor"                  "+$armor"
"DOTA_Tooltip_Ability_item_stoneskin_bonus_health_regen"           "+$hp_regen"

"DOTA_Tooltip_modifier_item_stoneskin_active"                      "Stone Form"
"DOTA_Tooltip_modifier_item_stoneskin_active_Description"          "Bonus %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% armor, %dMODIFIER_PROPERTY_STATUS_RESISTANCE_STACKING%%% status resistance and a chance to block damage from ranged attacks. Reduced movement speed."

"DOTA_Tooltip_modifier_item_stoneskin_aura_effect"                 "Stone Skin Aura"
"DOTA_Tooltip_modifier_item_stoneskin_aura_effect_Description"     "Healing, regeneration, lifesteal and spell lifesteal amplified by %dMODIFIER_PROPERTY_LIFESTEAL_AMPLIFY_PERCENTAGE%%%."
